 Water (kg/m3),Cement (kg/m3),Fine aggregate (kg/m3),Coarse aggregate (kg/m3),Slag (kg/m3),Fly ash (kg/m3),SP (kg/m3),Strength (MPa)
0.496988848,0.44047619,0.517281553,0.712564103,0.01,0.397878788,0.09097166,0.258549755
0.489553903,0.294761905,0.755954693,0.566410256,0.01,0.30030303,0.1572212,0.281530567
0.281375465,0.345238095,0.603042071,0.604871795,0.548251366,0.313030303,0.50687155,0.640298974
0.281375465,0.535714286,0.42828479,0.938205128,0.367923497,0.21,0.50687155,0.745274431
0.563903346,0.427142857,0.648349515,0.440769231,0.143879781,0.455454545,0.262116305,0.436818385
0.392899628,0.364285714,0.730064725,0.386923077,0.556448087,0.01,0.24923445,0.554957608
0.593643123,0.589047619,0.673430421,0.44974359,0.365191257,0.106969697,0.32284505,0.63037037
0.398327138,0.25,0.657249191,0.451025641,0.310546448,0.494848485,0.1572212,0.337309237
0.51929368,0.227142857,0.679902913,0.595897436,0.316010929,0.237272727,0.148019875,0.348464971
0.444944238,0.211904762,0.647540453,0.683076923,0.206721311,0.337272727,0.14249908,0.326153503
0.51929368,0.589047619,0.673430421,0.44974359,0.365191257,0.106969697,0.32284505,0.604154395
0.563903346,0.427142857,0.648349515,0.440769231,0.143879781,0.455454545,0.257699669,0.436818385
0.593643123,0.427142857,0.646731392,0.438205128,0.116557377,0.485757576,0.302602135,0.406251673
0.51929368,0.345238095,0.682330097,0.525384615,0.337868852,0.252424242,0.1940265,0.475082552
0.51929368,0.25,0.796407767,0.389487179,0.283224044,0.313030303,0.17194332,0.359174476
0.392899628,0.44047619,0.730873786,0.39974359,0.638415301,0.01,0.244081708,0.656697903
0.392899628,0.44047619,0.730873786,0.39974359,0.51273224,0.149393939,0.244081708,0.587755466
0.392899628,0.44047619,0.730873786,0.39974359,0.38704918,0.288787879,0.244081708,0.563659081
0.392899628,0.44047619,0.730873786,0.39974359,0.32420765,0.358484848,0.244081708,0.553842035
0.392899628,0.44047619,0.730873786,0.39974359,0.13568306,0.567575758,0.244081708,0.561539491
0.392899628,0.44047619,0.730873786,0.39974359,0.01,0.706969697,0.244081708,0.432467648
0.236765799,0.57,0.711456311,0.529230769,0.119289617,0.294848485,0.323949209,0.593221776
0.236765799,0.57,0.711456311,0.529230769,0.163005464,0.258484848,0.32652558,0.559308344
0.236765799,0.57,0.711456311,0.529230769,0.201256831,0.222121212,0.327997792,0.536327532
0.593643123,0.430952381,0.662184466,0.433333333,0.507814208,0.148181818,0.356337873,0.635167336
0.593643123,0.430952381,0.662184466,0.433333333,0.507814208,0.148181818,0.317692308,0.522717537
0.593643123,0.345238095,0.676909385,0.433333333,0.550437158,0.16,0.302970188,0.612744311
0.578773234,0.354761905,0.676909385,0.433333333,0.552896175,0.160606061,0.306282665,0.633047747
0.563903346,0.354761905,0.676909385,0.433333333,0.564371585,0.163636364,0.309595142,0.59556448
0.556468401,0.25952381,0.676909385,0.433333333,0.662185792,0.190909091,0.306282665,0.59768407
0.593643123,0.25952381,0.691472492,0.433333333,0.593060109,0.171515152,0.287880015,0.500517626
0.556468401,0.25,0.691472492,0.433333333,0.631311475,0.182121212,0.295241075,0.570352521
0.556468401,0.25,0.692847896,0.453333333,0.593333333,0.171818182,0.284935591,0.478317715
0.556468401,0.25,0.686779935,0.473205128,0.575846995,0.166969697,0.280150902,0.479767961
0.593643123,0.25,0.686779935,0.473205128,0.546885246,0.158787879,0.272421789,0.499067381
0.593643123,0.316666667,0.680711974,0.493076923,0.16273224,0.404848485,0.258067722,0.265689424
0.593643123,0.307142857,0.668576052,0.532948718,0.153715847,0.382121212,0.248866397,0.238357876
0.578773234,0.585238095,0.692847896,0.392051282,0.01,0.294848485,0.18298491,0.330727354
0.541598513,0.48047619,0.692847896,0.392051282,0.01,0.425151515,0.178568274,0.300160643
